WTeam,LTeam,WLoc
Philadelphia 76ers,Boston Celtics,V
Golden State Warriors,Oklahoma City Thunder,H
Milwaukee Bucks,Charlotte Hornets,V
Detroit Pistons,Brooklyn Nets,H
Memphis Grizzlies,Indiana Pacers,V
Orlando Magic,Miami Heat,H
New York Knicks,Atlanta Hawks,H
Toronto Raptors,Cleveland Cavaliers,H
New Orleans Pelicans,Houston Rockets,V
San Antonio Spurs,Minnesota Timberwolves,H
Utah Jazz,Sacramento Kings,V
Los Angeles Clippers,Denver Nuggets,H
Phoenix Suns,Dallas Mavericks,H
Philadelphia 76ers,Chicago Bulls,H
Miami Heat,Washington Wizards,V
Portland Trail Blazers,Los Angeles Lakers,H
Orlando Magic,Charlotte Hornets,H
Brooklyn Nets,New York Knicks,H
Memphis Grizzlies,Atlanta Hawks,H
Minnesota Timberwolves,Cleveland Cavaliers,H
New Orleans Pelicans,Sacramento Kings,H
Toronto Raptors,Boston Celtics,H
Milwaukee Bucks,Indiana Pacers,H
Oklahoma City Thunder,Los Angeles Clippers,V
Golden State Warriors,Utah Jazz,V
Indiana Pacers,Brooklyn Nets,H
Toronto Raptors,Washington Wizards,V
Boston Celtics,New York Knicks,V
Philadelphia 76ers,Orlando Magic,H
Detroit Pistons,Chicago Bulls,V
Charlotte Hornets,Miami Heat,V
Dallas Mavericks,Minnesota Timberwolves,H
Phoenix Suns,Denver Nuggets,V
Portland Trail Blazers,San Antonio Spurs,H
Houston Rockets,Los Angeles Lakers,V
Atlanta Hawks,Cleveland Cavaliers,V
Sacramento Kings,Oklahoma City Thunder,V
Golden State Warriors,Denver Nuggets,V
Los Angeles Clippers,Houston Rockets,H
Orlando Magic,Boston Celtics,V
Toronto Raptors,Charlotte Hornets,H
Milwaukee Bucks,New York Knicks,H
Indiana Pacers,Minnesota Timberwolves,V
Dallas Mavericks,Chicago Bulls,H
Memphis Grizzlies,Utah Jazz,V
Washington Wizards,Portland Trail Blazers,V
Golden State Warriors,Phoenix Suns,H
San Antonio Spurs,Los Angeles Lakers,V
Detroit Pistons,Philadelphia 76ers,H
New Orleans Pelicans,Los Angeles Clippers,H
Denver Nuggets,Sacramento Kings,H
Atlanta Hawks,Dallas Mavericks,H
Cleveland Cavaliers,Brooklyn Nets,H
New York Knicks,Miami Heat,V
Toronto Raptors,Minnesota Timberwolves,H
Chicago Bulls,Charlotte Hornets,H
Houston Rockets,Utah Jazz,H
San Antonio Spurs,Indiana Pacers,H
Milwaukee Bucks,Philadelphia 76ers,H
Los Angeles Lakers,Phoenix Suns,V
Sacramento Kings,Memphis Grizzlies,H
Golden State Warriors,Washington Wizards,H
Detroit Pistons,Cleveland Cavaliers,H
Portland Trail Blazers,Orlando Magic,V
Oklahoma City Thunder,Boston Celtics,H
Los Angeles Lakers,Denver Nuggets,H
Charlotte Hornets,Chicago Bulls,H
Golden State Warriors,New York Knicks,V
Toronto Raptors,Dallas Mavericks,H
Los Angeles Clippers,Houston Rockets,V
Minnesota Timberwolves,Milwaukee Bucks,H
New Orleans Pelicans,Brooklyn Nets,H
Sacramento Kings,Washington Wizards,H
Detroit Pistons,Boston Celtics,H
Utah Jazz,New Orleans Pelicans,V
Chicago Bulls,Atlanta Hawks,V
Indiana Pacers,Cleveland Cavaliers,V
Philadelphia 76ers,Charlotte Hornets,H
Phoenix Suns,Memphis Grizzlies,V
Miami Heat,Portland Trail Blazers,H
Orlando Magic,Milwaukee Bucks,V
San Antonio Spurs,Los Angeles Lakers,H
Golden State Warriors,Brooklyn Nets,V
Utah Jazz,Dallas Mavericks,V
Oklahoma City Thunder,Phoenix Suns,H
Los Angeles Clippers,Washington Wizards,H
Indiana Pacers,Portland Trail Blazers,H
Atlanta Hawks,Philadelphia 76ers,V
Sacramento Kings,Miami Heat,V
Brooklyn Nets,New York Knicks,V
Golden State Warriors,Chicago Bulls,V
Milwaukee Bucks,Toronto Raptors,H
Minnesota Timberwolves,Los Angeles Lakers,H
San Antonio Spurs,Dallas Mavericks,H
Denver Nuggets,New Orleans Pelicans,H
Charlotte Hornets,Miami Heat,H
Cleveland Cavaliers,Atlanta Hawks,H
Orlando Magic,Sacramento Kings,H
Boston Celtics,Detroit Pistons,H
Toronto Raptors,Philadelphia 76ers,H
Houston Rockets,Portland Trail Blazers,H
Washington Wizards,Memphis Grizzlies,V
Oklahoma City Thunder,Los Angeles Clippers,H
Brooklyn Nets,Detroit Pistons,H
Denver Nuggets,Chicago Bulls,V
Minnesota Timberwolves,Utah Jazz,H
Indiana Pacers,New York Knicks,V
Golden State Warriors,New Orleans Pelicans,H
Los Angeles Lakers,Dallas Mavericks,H
Phoenix Suns,San Antonio Spurs,H
Oklahoma City Thunder,Charlotte Hornets,V
Cleveland Cavaliers,Denver Nuggets,H
Philadelphia 76ers,Los Angeles Clippers,H
Sacramento Kings,Atlanta Hawks,V
Boston Celtics,Milwaukee Bucks,H
Portland Trail Blazers,New Orleans Pelicans,H
Orlando Magic,Los Angeles Clippers,H
Houston Rockets,Brooklyn Nets,V
Indiana Pacers,Chicago Bulls,V
Oklahoma City Thunder,Washington Wizards,V
New York Knicks,Dallas Mavericks,V
Memphis Grizzlies,Utah Jazz,V
Phoenix Suns,Toronto Raptors,H
Minnesota Timberwolves,Golden State Warriors,V
Detroit Pistons,Philadelphia 76ers,V
Cleveland Cavaliers,Charlotte Hornets,V
Indiana Pacers,Boston Celtics,H
Atlanta Hawks,Miami Heat,H
Houston Rockets,Chicago Bulls,V
New Orleans Pelicans,San Antonio Spurs,V
Utah Jazz,Denver Nuggets,V
Los Angeles Lakers,Portland Trail Blazers,V
Milwaukee Bucks,Sacramento Kings,H
Philadelphia 76ers,Brooklyn Nets,V
New York Knicks,Washington Wizards,V
Orlando Magic,San Antonio Spurs,V
Phoenix Suns,Memphis Grizzlies,H
Minnesota Timberwolves,Portland Trail Blazers,V
Toronto Raptors,Los Angeles Lakers,V
Miami Heat,Detroit Pistons,V
Houston Rockets,Indiana Pacers,V
Orlando Magic,Cleveland Cavaliers,H
Chicago Bulls,New York Knicks,V
Oklahoma City Thunder,New Orleans Pelicans,H
Denver Nuggets,Boston Celtics,H
Toronto Raptors,Utah Jazz,V
Golden State Warriors,Memphis Grizzlies,H
Los Angeles Clippers,Minnesota Timberwolves,H
Charlotte Hornets,Atlanta Hawks,H
Dallas Mavericks,Washington Wizards,H
Phoenix Suns,Brooklyn Nets,H
